201 1 0 0 . 38 . 55 . . . . 26 . 42 . . . . 35 . 52 . . . . 20 . 0 . . . . 2 . 0 . . . . 0 . 0 . . . . 0 . 0 . . . . 0 . 0 . . . . 0 . 0 . . . . 0 . 0 . . . . 111 . 135 . . . . 0 . 1 . . . . 1 . 1 . . . . 0 . 0 . . .
303 1 0 1 26 . . 33 . . . 21 . . 30 . . . 26 . . 35 . . . . . . 80 . . . . . . 0 . . . 2 . . 2 . . . 2 . . 4 . . . 1 . . 1 . . . 1 . . 1 . . . 0 . . 1 . . . 121 . . 145 . . . 0 . . 0 . . . 1 . . 1 . . . 2 . . 2 . . .
2702 0 0 0 56 . 58 . . . 80 38 . 41 . . . 67 33 . 50 . . . 66 40 . 120 . . . 80 0 . 0 . . . 1 1 . 3 . . . 3 1 . 3 . . . 1 2 . 3 . . . 3 0 . 3 . . . 0 0 . 0 . . . 0 100 . 125 . . . 173 . . . . . . . 1 . 1 . . . 1 0 . 2 . . . 2
4303 1 0 0 . 41 58 . . . . . 41 29 . . . . . 34 43 . . . . . 60 80 . . . . . 0 0 . . . . . 1 2 . . . . . 3 4 . . . . . 1 1 . . . . . 1 1 . . . . . 0 0 . . . . . 115 135 . . . . . 0 0 . . . . . 0 1 . . . . . 1 2 . . . .
5002 0 0 4 . . 46 . 54 . 66 . . 47 . 58 . 53 . . 46 . 70 . 77 . . 170 . 70 . 120 . . 4 . 2 . 3 . . 1 . 0 . 1 . . 5 . 3 . 4 . . 3 . 2 . 3 . . 1 . 0 . 0 . . 3 . 0 . 1 . . 117 . 145 . 167 . . . . . . . . . 1 . 0 . 1 . . 4 . 1 . 5
5005 1 0 0 35 . 50 . 60 . 59 30 . 49 . 48 . 49 47 . 67 . 75 . 78 40 . 100 . 50 . 60 0 . 1 . 0 . 0 0 . 2 . 1 . 2 3 . 3 . 2 . 3 0 . 3 . 0 . 1 0 . 1 . 2 . 0 1 . 0 . 0 . 0 93 . 115 . 139 . 163 0 . 0 . 0 . 1 0 . 1 . 1 . 1 2 . 2 . 1 . 3
5701 0 0 2 . 62 61 . . . . . 67 70 . . . . . 64 70 . . . . . 13 7 . . . . . 0 0 . . . . . 4 1 . . . . . 3 2 . . . . . 4 3 . . . . . 2 1 . . . . . 0 0 . . . . . 111 134 . . . . . . . . . . . . 0 0 . . . . . 2 1 . . . .
6102 0 0 0 . . 55 67 . 81 . . . 67 63 . 73 . . . 50 69 . 71 . . . 50 0 . 0 . . . 0 0 . 0 . . . 0 0 . 0 . . . 1 0 . 0 . . . 2 0 . 0 . . . 2 0 . 0 . . . 0 0 . 0 . . . 120 141 . 164 . . . . . . . . . . 0 1 . 1 . . . 1 0 . 0 .
6801 1 0 0 . 54 . 62 . 66 . . 48 . 53 . 67 . . 53 . 76 . 64 . . 0 . 20 . 10 . . 0 . 0 . 0 . . 0 . 0 . 0 . . 0 . 0 . 0 . . 0 . 1 . 1 . . 0 . 0 . 0 . . 0 . 1 . 0 . . 106 . 130 . 153 . . 0 . 0 . 0 . . 1 . 1 . 1 . . 0 . 0 . 0 .
6802 0 0 0 . 55 . 66 . 68 . . 50 . 64 . 70 . . 66 . 66 . 75 . . 50 . 20 . 0 . . 2 . 0 . 0 . . 3 . 0 . 0 . . 0 . 1 . 0 . . 0 . 0 . 0 . . 0 . 1 . 0 . . 0 . 0 . 0 . . 107 . 130 . 153 . . . . . . . . . 1 . 1 . 1 . . 0 . 1 . 0 .
6803 1 0 0 . 57 . 70 . . . . 59 . 48 . . . . 68 . 70 . . . . 20 . 80 . . . . 0 . 0 . . . . 0 . 3 . . . . 1 . 2 . . . . 0 . 1 . . . . 0 . 2 . . . . 1 . 0 . . . . 113 . 136 . . . . 0 . 0 . . . . 1 . 1 . . . . 0 . 1 . . .
9603 0 0 0 35 . 59 . . . . 42 . 45 . . . . 33 . 63 . . . . . . 20 . . . . . . 0 . . . . . . 0 . . . . . . 1 . . . . . . 0 . . . . 0 . 1 . . . . 0 . 0 . . . . 97 . 120 . . . . . . . . . . . 1 . 1 . . . . 1 . 0 . . . .
12401 1 0 0 . 34 50 . . . . . 37 43 . . . . . 49 53 . . . . . 40 50 . . . . . 0 1 . . . . . 1 1 . . . . . 1 2 . . . . . 2 1 . . . . . 0 0 . . . . . 0 0 . . . . . 97 117 . . . . . 0 0 . . . . . 0 1 . . . . . 1 1 . . . .
12801 0 0 2 . . 48 . . . . . . 41 . . . . . . 37 . . . . . . 60 . . . . . . 1 . . . . . . 1 . . . . . . 3 . . . . . . 1 . . . . . . 0 . . . . . . 0 . . . . . . 117 . . . . . . . . . . . . . 0 . . . . . . 2 . . . .
13702 1 0 0 . 54 . . 64 63 . . 45 . . 53 49 . . 54 . . 71 74 . . 20 . . 10 0 . . 0 . . 0 0 . . 1 . . 0 0 . . 0 . . 1 0 . . 0 . . 0 0 . . 1 . . 0 0 . . 0 . . 0 0 . . 109 . . 133 157 . . 0 . . 0 0 . . 1 . . 1 1 . . 0 . . 0 0 .
13801 0 0 1 . 66 . 65 . . . . 56 . 56 . . . . 55 . 78 . . . . 30 . 0 . . . . 0 . 0 . . . . 1 . 0 . . . . 2 . 0 . . . . 0 . 0 . . . . 0 . 0 . . . . 0 . 0 . . . . 112 . 135 . . . . . . . . . . . 1 . 1 . . . . 1 . 0 . . .
13803 1 0 0 . 58 . 60 . . . . 46 . 62 . . . . 60 . 55 . . . . 70 . 30 . . . . 0 . 0 . . . . 2 . 2 . . . . 1 . 0 . . . . 1 . 0 . . . . 3 . 1 . . . . 0 . 0 . . . . 106 . 130 . . . . 0 . 0 . . . . 1 . 1 . . . . 0 . 0 . . .
17201 1 0 0 . 46 . 65 . . . . 47 . 59 . . . . 51 . 76 . . . . 100 . 93 . . . . 3 . 1 . . . . 3 . 2 . . . . 2 . . . . . . 0 . 2 . . . . 1 . 2 . . . . 1 . 0 . . . . 108 . 132 . . . . 0 . 0 . . . . 1 . 1 . . . . 1 . 1 . . .
18601 0 0 1 . . 27 . . . . . . 36 . . . . . . 39 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 113 . . . . . . . . . . . . . 0 . . . . . . . . . . .
22104 1 0 0 24 . 41 . . . . 28 . 33 . . . . 28 . 39 . . . . . . . . . . . 1 . . . . . . . . 0 . . . . 0 . 3 . . . . 0 . . . . . . . . 0 . . . . 0 . 0 . . . . 108 . 132 . . . . 0 . 0 . . . . 1 . 1 . . . . 0 . 2 . . . .
22901 0 0 0 . 32 . 49 . . . . 29 . 47 . . . . 30 . 47 . . . . 70 . 10 . . . . 0 . 0 . . . . 2 . 0 . . . . 1 . 0 . . . . 2 . 1 . . . . 2 . 0 . . . . 0 . 0 . . . . 101 . 147 . . . . . . . . . . . 0 . 1 . . . . 0 . 0 . . .
23602 0 0 2 . . 57 . . . . . . 37 . . . . . . 41 . . . . . . 60 . . . . . . 1 . . . . . . 0 . . . . . . 2 . . . . . . 2 . . . . . . 1 . . . . . . 0 . . . . . . 117 . . . . . . . . . . . . . 0 . . . . . . 1 . . . .
23701 1 0 3 . . 48 . 49 . . . . 55 . 49 . . . . 54 . 61 . . . . 16 . 160 . . . . 3 . 3 . . . . 2 . 3 . . . . 5 . 5 . . . . 3 . 4 . . . . 2 . 1 . . . . 1 . 0 . . . . 111 . 136 . . . . 0 . 0 . . . . 0 . 0 . . . . 4 . 5 . .
24402 1 0 5 . . 44 59 . . . . . 50 62 . . . . . 49 55 . . . . . 20 15 . . . . . 4 2 . . . . . 4 4 . . . . . 4 4 . . . . . 4 1 . . . . . 3 4 . . . . . 1 0 . . . . . 109 132 . . . . . 0 1 . . . . . 0 0 . . . . . 7 4 . . .
26201 1 0 1 39 . . 68 . . 71 45 . . 56 . . 63 40 . . 84 . . 81 70 . . 20 . . 10 0 . . 0 . . 0 0 . . 1 . . 0 4 . . 1 . . 1 1 . . 0 . . 0 2 . . 0 . . 0 0 . . 0 . . 0 88 . . 131 . . 159 0 . . 0 . . 0 0 . . 1 . . 0 2 . . 1 . . 1
28503 0 0 1 14 . 48 . . . . 18 . 41 . . . . 20 . 38 . . . . 80 . 60 . . . . 1 . 0 . . . . 2 . 1 . . . . 1 . 2 . . . . 3 . 2 . . . . 1 . 0 . . . . 0 . 1 . . . . 89 . 133 . . . . . . . . . . . 0 . 1 . . . . 0 . 1 . . . .
29201 0 0 1 52 . 67 . . 65 75 42 . 63 . . 75 74 40 . 47 . . 60 76 50 . 80 . . 30 80 0 . 0 . . 0 1 1 . 1 . . 1 1 3 . 3 . . 2 3 1 . 2 . . 0 3 0 . 2 . . 1 1 0 . 0 . . 0 0 101 . 125 . . 152 173 . . . . . . . 1 . 1 . . 0 1 2 . 2 . . 2 2
29202 0 0 0 44 . . 64 73 . . . . . 62 73 . . 55 . . 61 78 . . 60 . . 60 70 . . 0 . . 0 0 . . 2 . . 3 4 . . 1 . . 2 2 . . 0 . . 0 0 . . 2 . . 1 0 . . 1 . . 0 1 . . 104 . . 132 153 . . . . . . . . . 1 . . 0 1 . . 0 . . 0 0 . .
34401 0 0 1 52 . 67 . . . 79 55 . 67 . . . 66 65 . 83 . . . 81 160 . 110 . . . 150 4 . 3 . . . 3 2 . 1 . . . 4 5 . 5 . . . 5 1 . 1 . . . 0 2 . 0 . . . 1 2 . 1 . . . 3 100 . 124 . . . 174 . . . . . . . 1 . 1 . . . 0 6 . 4 . . . 4
35401 0 0 1 . 44 . 64 . 69 . . 57 . 48 . 71 . . 68 . 83 . 74 . . 80 . 40 . 20 . . 2 . 0 . 0 . . 2 . 1 . 1 . . 1 . 0 . 0 . . 2 . 2 . 1 . . 1 . 1 . 0 . . 0 . 0 . 0 . . 109 . 133 . 157 . . . . . . . . . 1 . 1 . 1 . . 0 . 0 . 0 .
35402 1 0 0 . 53 . 45 . 61 . . 52 . 43 . 53 . . 53 . 53 . 64 . . 20 . 20 . 60 . . 0 . 0 . 1 . . 1 . 1 . 2 . . 0 . 0 . 2 . . 1 . 1 . 1 . . 0 . 0 . 1 . . 0 . 0 . 0 . . 106 . 129 . 153 . . 0 . 0 . 1 . . 1 . 1 . 1 . . 0 . 0 . 3 .
36901 1 1 1 . 62 . 65 . 74 . . 43 . 67 . 67 . . 58 . 56 . 72 . . 60 . 30 . 110 . . 1 . 0 . 1 . . 1 . 0 . 3 . . 3 . 3 . 4 . . 0 . 0 . 1 . . 0 . 0 . 0 . . 1 . 0 . 2 . . 105 . 130 . 154 . . 0 . 0 . 1 . . 1 . 1 . 1 . . 1 . 1 . 3 .
36902 0 0 1 48 . 62 . 65 . 72 44 . 50 . 59 . 65 32 . 47 . 55 . 69 80 . 90 . 80 . 115 0 . 2 . 2 . 1 3 . 2 . 0 . 4 2 . 1 . 2 . 2 2 . 3 . 4 . 4 1 . 1 . 2 . 2 0 . 0 . 0 . . 99 . 122 . 146 . 169 . . . . . . . 1 . 1 . 1 . 1 0 . 0 . 1 . 0
