Gender,Age,ReligionFaith,RCI1,RCI2,RCI3,RCI4,RCI5,RCI6,RCI7,RCI8,RCI9,RCI10,HFS1,HFS2,HFS3,HFS4,HFS5,HFS6,HFS7,HFS8,HFS9,HFS10,HFS11,HFS12,HFS13,HFS14,HFS15,HFS16,HFS17,HFS18,DV1,DV2,DV3,PT1,PT2,PT3,HFS2r,HFS4r,HFS6r,HFS7r,HFS9r,HFS11r,HFS13r,HFS15r,HFS17r,TotalRCI,TotalDV,TotalPT,TotalHFS,TotalHFSSelf
0,57,Jewish,5,4,5,5,4,5,5,5,5,4,2,7,3,6,3,7,2,7,3,7,2,7,5,5,3,6,3,7,4,4,4,7,6,6,1,2,1,6,5,6,3,5,5,47,12,19,81,12
1,73,Christian,4,5,5,5,5,5,5,5,5,5,5,6,5,5,6,4,2,6,2,5,2,6,6,5,6,6,6,6,4,4,4,5,4,4,2,3,4,6,6,6,2,2,2,49,12,13,83,25
1,25,Islamic,1,2,3,3,4,2,3,4,4,1,2,5,3,6,6,6,1,4,3,5,5,5,6,6,6,6,4,7,4,2,3,7,4,4,3,2,2,7,5,3,2,2,4,27,9,15,74,18
1,59,Christian,5,5,5,5,5,5,5,5,4,3,6,6,7,2,7,4,1,1,2,4,2,7,4,6,2,7,1,7,4,4,4,6,6,6,2,6,4,7,6,6,4,6,7,47,12,18,100,32
1,54,Other Spiritual,3,2,3,3,3,3,3,3,3,3,5,7,6,6,6,6,5,6,6,5,6,5,5,5,6,4,5,3,3,3,3,6,6,5,1,2,2,3,2,2,3,2,3,29,9,17,65,22
1,59,Christian,3,5,5,5,5,4,4,5,5,4,7,1,7,1,7,1,1,7,1,5,1,7,4,7,1,7,1,7,4,4,4,5,5,4,7,7,7,7,7,7,4,7,7,45,12,14,121,42
1,51,Christian,3,5,5,4,3,4,3,4,5,2,5,5,7,2,6,6,2,6,2,4,3,6,1,7,1,7,2,6,4,4,3,4,4,4,3,6,2,6,6,5,7,7,6,38,11,12,102,29
1,78,Christian,5,5,5,5,5,5,5,5,5,5,7,1,7,1,7,1,1,6,1,6,2,7,1,7,1,7,1,7,4,4,4,7,2,4,7,7,7,7,7,6,7,7,7,50,12,13,123,42
1,66,Christian,5,5,5,5,5,5,5,5,4,4,6,5,7,3,6,6,1,4,1,2,6,4,7,6,3,2,2,2,4,4,4,7,7,7,3,5,2,7,7,2,1,5,6,48,12,21,77,29
1,48,Christian,2,2,3,2,3,3,2,4,3,2,6,3,6,5,6,3,2,6,2,6,2,6,4,6,3,6,4,5,3,3,3,7,7,7,5,3,5,6,6,6,4,5,4,26,9,21,97,31
1,60,Christian,4,5,4,5,4,4,4,4,4,3,7,3,7,3,6,2,1,6,1,7,2,7,2,7,3,7,2,7,4,4,4,5,5,4,5,5,6,7,7,6,6,5,6,41,12,14,114,36
1,67,Christian,5,5,5,5,5,5,5,5,5,5,5,6,4,7,5,3,1,4,3,5,5,7,5,5,5,5,4,5,4,3,4,5,7,4,2,1,5,7,5,3,3,3,4,50,11,16,78,22
1,49,Christian,5,5,5,5,5,4,5,5,5,4,6,2,5,1,6,2,2,6,3,4,5,3,5,6,4,5,6,7,4,4,4,6,6,3,6,7,6,6,5,3,3,4,2,48,12,15,90,36
1,33,Christian,3,1,3,5,4,5,4,4,5,5,6,1,6,2,5,4,1,6,2,5,3,7,4,5,3,6,6,6,4,4,4,7,7,7,7,6,4,7,6,5,4,5,2,39,12,21,98,34
0,55,Christian,2,5,4,4,4,5,4,5,4,4,6,2,7,1,7,2,1,4,2,6,1,6,4,5,3,6,1,7,4,4,4,3,7,7,6,7,6,7,6,7,4,5,7,41,12,17,109,39
0,64,Sikh,4,5,5,5,5,5,5,5,5,4,3,7,4,6,3,6,4,6,3,6,4,6,6,4,5,5,3,5,4,3,3,6,7,6,1,2,2,4,5,4,2,3,5,48,10,19,70,15
0,31,Christian,3,4,5,4,4,5,4,5,3,4,3,6,1,7,2,6,6,3,5,2,6,5,4,2,5,2,6,5,3,3,4,7,6,7,2,1,2,2,3,2,4,3,2,41,10,20,46,11
0,32,Christian,5,5,3,5,5,5,5,4,4,3,2,6,1,7,2,7,3,6,2,5,3,5,2,5,6,2,5,5,4,3,4,7,7,7,2,1,1,5,6,5,6,2,3,44,11,21,64,9
1,74,Christian,5,4,5,5,5,2,3,5,4,5,1,7,1,7,1,7,2,6,3,6,3,6,2,6,4,6,3,6,4,3,3,7,5,7,1,1,1,6,5,5,6,4,5,43,10,19,73,6
0,49,Christian,3,4,4,4,3,4,5,5,4,5,1,6,2,6,1,7,2,6,2,5,1,5,4,2,5,3,5,1,3,3,4,7,6,6,2,2,1,6,6,7,4,3,3,41,10,19,60,9
1,33,Christian,1,2,1,3,1,1,1,1,2,1,7,1,6,1,6,2,2,5,2,5,2,5,2,6,2,3,4,7,3,3,3,3,5,3,7,7,6,6,6,6,6,6,4,14,9,11,104,39
0,44,Christian,2,1,3,3,1,2,1,1,2,1,6,1,7,1,7,1,2,6,1,7,1,5,2,6,1,5,2,6,2,3,2,4,3,3,7,7,7,6,7,7,6,7,6,17,7,10,115,41
1,50,Christian,2,3,4,5,5,5,5,3,5,4,6,3,7,3,6,3,1,6,2,5,2,6,2,6,3,6,2,7,4,4,4,5,5,4,5,5,5,7,6,6,6,5,6,41,12,14,106,34
1,47,Jewish,4,5,3,4,4,5,4,3,5,5,1,7,2,6,2,7,3,5,4,5,5,4,3,5,3,7,3,6,4,3,4,7,5,6,1,2,1,5,4,3,5,5,5,42,11,18,68,9
1,19,Christian,2,1,5,5,4,3,5,3,4,3,2,6,3,7,3,6,4,5,3,5,2,6,4,5,5,3,7,2,3,3,3,6,4,4,2,1,2,4,5,6,4,3,1,35,9,14,62,13
0,46,Christian,5,4,4,4,5,5,4,4,4,5,2,7,1,6,2,7,3,5,3,5,3,6,4,7,5,6,3,6,3,3,4,7,6,5,1,2,1,5,5,5,4,3,5,44,10,18,71,9
