1	1	1	26	9999	24	78
1	1	30	9999	24	24	50
1	1	55	9999	36	70	72
1	1	92	9999	37	34	41
1	2	20	24	9999	24	36
1	2	22	12	9999	18	39
1	2	46	9999	39	34	34
1	2	80	0	0	10	9999
1	2	86	70	9999	70	31
1	2	113	9999	0	2	1
1	2	130	9999	78	64	70
1	2	145	9999	1	1	2
1	3	3	0	9999	0	0
1	3	11	9999	90	75	80
1	3	12	9999	0	30	73
1	3	25	9999	43	45	55
1	3	38	57	9999	46	32
1	3	42	9999	0	10	40
1	3	43	25	10	10	9999
1	3	74	39	60	62	9999
1	3	103	67	9999	69	82
1	3	114	28	9999	45	54
1	3	120	0	9999	0	0
1	3	121	9999	25	25	35
1	3	122	9999	25	20	20
1	3	124	0	9999	0	2
1	3	125	9999	24	24	71
1	3	128	9999	81	95	97
1	3	140	9999	80	75	60
1	3	148	33	0	41	9999
1	4	4	9999	60	70	70
1	4	8	0	9999	0	0
1	4	10	0	0	0	9999
1	4	18	9999	0	0	0
1	4	37	80	80	80	9999
1	4	49	62	9999	39	63
1	4	72	70	58	70	9999
1	4	75	76	76	76	9999
1	4	82	9999	12	25	18
1	4	83	56	9999	75	0
1	4	90	0	9999	0	0
1	4	100	19	25	18	9999
1	4	102	10	9999	10	10
1	4	104	90	9999	90	90
1	4	133	29	9999	17	38
1	4	137	24	9999	23	22
1	5	5	10	0	0	9999
1	5	7	9999	9999	9999	9999
1	5	14	22	34	24	9999
1	5	19	50	50	50	9999
1	5	28	92	9999	100	100
1	5	29	23	9999	24	6
1	5	35	25	9999	50	25
1	5	39	65	9999	65	65
1	5	44	0	0	0	9999
1	5	45	76	0	76	9999
1	5	47	9999	0	0	0
1	5	54	9999	0	15	25
1	5	59	64	35	79	9999
1	5	66	0	0	0	9999
1	5	71	70	9999	70	70
1	5	73	0	0	0	9999
1	5	78	9999	70	10	66
1	5	81	50	9999	50	60
1	5	88	30	9999	30	60
1	5	98	9999	17	20	33
1	5	99	9999	12	6	8
1	5	107	65	25	75	9999
1	5	109	20	9999	20	20
1	5	132	9999	38	35	37
1	5	134	65	82	69	9999
1	5	138	9999	14	68	49
1	5	146	94	9999	94	94
1	6	2	0	40	27	9999
1	6	6	30	9999	30	30
1	6	13	60	9999	66	64
1	6	15	33	0	55	9999
1	6	17	66	25	75	9999
1	6	24	25	20	10	9999
