stress,anxiety,depression,rosenberg,self_kindness,common_humanity,mindfulness,self_judgment,isolation,over_identification,scs_ts
10,5,3,27,18,13,16,15,14,10,86
3,3,3,32,21,18,18,9,9,5,112
8,2,5,29,22,13,16,14,12,12,91
4,0,2,32,18,13,15,19,14,12,79
4,5,1,36,23,14,15,12,11,10,97
12,10,7,30,16,11,13,19,15,18,66
20,14,16,16,15,10,8,15,19,20,57
8,7,4,33,20,18,17,10,8,7,108
7,6,7,32,17,7,10,20,8,8,76
3,3,2,29,17,15,14,11,12,10,91
8,9,5,32,25,19,19,5,5,7,124
13,6,5,35,14,12,10,22,17,16,59
11,7,7,24,19,7,5,14,17,17,61
3,1,0,26,12,11,11,13,11,11,77
8,2,2,38,17,15,14,11,9,14,90
17,12,9,31,10,11,11,25,16,18,51
5,1,3,28,14,15,14,19,15,16,71
18,7,11,24,10,8,6,23,17,18,44
5,0,3,30,19,16,19,15,10,6,101
4,2,1,31,23,17,18,11,7,6,112
16,3,10,31,15,9,10,19,19,18,56
8,5,5,27,15,12,14,22,18,12,67
8,7,4,36,12,14,13,13,16,8,80
7,6,3,26,15,9,8,17,12,15,66
5,6,3,36,19,10,15,9,6,8,99
5,0,2,37,22,17,13,14,12,14,90
13,10,10,24,17,12,10,11,16,12,78
13,14,8,26,10,9,8,18,15,16,56
2,0,2,29,15,8,11,9,11,5,87
7,4,5,33,14,17,18,12,7,5,103
8,6,1,29,19,12,14,17,15,18,73
11,10,9,18,9,10,7,24,14,17,49
16,6,4,25,12,13,15,20,17,12,69
2,3,1,30,14,18,19,12,11,19,87
9,5,3,29,17,14,13,12,13,12,85
12,7,6,32,22,17,15,10,7,8,107
7,7,8,30,15,15,13,9,10,8,94
8,1,4,34,23,19,18,11,8,12,107
6,4,5,28,20,14,13,12,8,11,94
12,8,6,27,14,14,16,18,9,11,84
10,7,8,29,9,11,6,16,16,14,58
6,1,2,31,15,14,12,18,10,12,79
7,7,10,20,10,8,12,17,16,9,66
12,8,14,26,15,15,14,18,14,16,74
13,9,10,24,14,13,11,18,14,15,69
13,7,4,27,15,10,5,17,12,13,66
7,8,6,29,16,13,13,18,10,12,80
12,5,8,35,18,10,11,10,10,12,85
8,5,9,27,12,10,10,18,16,13,63
8,8,3,29,14,10,9,17,12,9,73
17,6,7,22,9,11,9,18,12,17,60
9,5,8,24,9,13,13,23,10,12,68
10,7,9,26,9,10,11,20,13,16,59
8,6,5,27,13,13,15,16,14,11,78
12,13,9,24,10,10,11,16,13,14,66
9,7,5,28,16,8,11,16,15,12,70
15,11,13,17,10,10,10,22,17,15,54
11,7,9,29,19,12,11,14,15,12,79
1,1,3,35,18,16,17,13,8,7,101
7,4,7,30,13,12,11,19,15,17,63
8,11,10,29,15,12,7,18,17,17,60
9,8,11,24,13,7,11,19,17,17,56
10,6,3,35,13,9,9,19,15,16,59
11,4,9,28,16,15,13,19,15,15,73
14,15,16,10,7,5,8,22,20,16,40
5,4,3,37,17,10,13,17,9,14,78
17,7,17,21,8,6,11,25,18,18,42
14,14,6,27,16,14,15,18,14,16,75
13,3,5,39,20,16,10,13,14,14,83
8,1,5,36,25,20,19,9,7,6,120
5,1,1,32,16,11,18,19,11,9,84
7,9,6,27,15,14,13,17,14,14,75
9,0,7,29,12,8,13,16,10,9,76
5,2,2,27,16,13,13,11,11,9,89
12,7,5,37,20,16,17,10,9,9,103
10,9,8,27,12,12,10,18,16,17,61
6,1,3,29,17,16,12,17,12,12,82
11,7,9,24,12,9,10,21,15,15,58
12,5,10,25,10,10,7,18,12,18,57
4,1,8,17,10,8,5,21,20,18,42
15,12,5,35,20,11,14,21,15,16,71
7,8,5,30,13,10,14,16,12,12,75
14,12,5,28,12,9,11,21,15,16,58
8,5,14,33,18,8,10,12,10,12,80
12,1,7,28,14,12,11,19,18,17,61
