"I","G","S","N","W"
49,43,40,20,41
53,56,53,28,59
46,45,47,14,41
46,47,47,28,48
59,37,35,14,35
48,30,33,15,29
45,40,40,15,37
49,26,25,14,25
51,25,31,9,27
54,45,46,19,43
51,47,51,20,53
52,34,35,19,32
41,32,32,13,31
55,36,41,18,35
54,38,32,21,39
42,27,21,12,27
49,30,33,14,35
45,43,36,17,36
56,33,41,18,35
49,32,28,10,33
55,35,43,16,31
43,42,39,23,28
45,45,38,19,38
42,33,30,20,31
54,27,35,14,39
54,42,41,22,39
51,36,43,18,38
57,42,44,23,50
45,35,35,15,21
54,44,37,22,44
47,29,44,21,33
47,30,31,13,26
39,27,29,10,22
49,39,30,22,43
52,35,38,19,38
45,38,39,20,42
47,48,45,23,49
52,34,27,16,27
56,24,21,8,20
55,41,43,22,33
40,30,29,12,29
57,41,40,18,43
63,52,48,29,64
43,42,41,17,36
50,47,47,15,36
46,43,40,22,37
50,26,23,16,32
39,38,36,15,31
44,36,31,16,43
62,24,25,11,25
54,38,47,20,43
46,41,34,21,37
47,40,43,25,46
48,20,17,8,19
53,39,39,25,32
46,35,37,22,37
52,42,39,14,34
53,41,37,16,40
49,41,43,21,41
47,33,35,17,38
48,36,32,15,35
51,41,32,18,34
49,22,19,9,16
54,34,31,14,30
46,35,36,19,35
54,41,37,22,49
48,29,27,11,19
51,37,38,19,30
38,42,37,19,37
38,42,37,19,37
48,36,43,21,45
49,41,33,8,32
51,40,39,16,39
49,38,36,16,34
46,46,45,22,45
46,24,34,11,27
62,35,35,16,35
56,52,54,24,58
53,35,37,17,37
44,25,16,8,20
55,59,52,31,59
47,39,38,24,36
54,43,44,16,38
50,29,26,19,34
52,34,37,15,38
43,27,30,10,19
51,36,34,28,50
35,21,18,11,17
59,40,47,24,46
52,32,41,22,29
47,33,29,17,31
48,44,40,19,34
47,24,21,12,22
49,39,45,20,32
53,28,28,12,25
52,35,40,14,35
49,33,27,13,30
53,49,46,20,56
48,42,37,13,25
53,41,38,24,34
38,18,19,9,16
52,37,42,19,44
52,44,37,14,40
48,43,39,21,38
48,35,35,20,39
45,39,41,18,40
53,48,42,22,43
46,45,35,24,48
49,38,29,12,38
56,16,22,14,20
54,48,33,20,36
61,44,35,18,33
42,32,36,16,26
47,36,29,12,36
48,49,48,28,44
45,37,36,17,48
44,48,38,25,38
54,39,42,23,39
48,34,30,17,35
52,45,46,17,38
52,25,30,12,18
51,50,46,18,44
56,54,46,25,54
46,36,45,18,35
58,39,38,19,41
43,34,26,10,34
46,35,39,19,39
49,33,34,16,29
44,30,26,13,22
44,35,34,10,31
61,54,55,33,64
59,32,30,22,36
49,36,39,15,35
48,47,40,17,44
49,43,46,26,48
51,37,39,17,29
47,29,37,15,33
60,39,34,19,46
52,43,34,17,36
55,31,39,11,34
47,34,30,13,29
46,43,42,24,44
53,41,41,16,40
48,27,27,14,29
64,40,41,23,37
57,47,52,20,47
53,36,36,16,36
52,50,52,24,43
56,36,42,24,39
53,30,30,11,21
51,47,46,30,50
56,31,37,14,49
50,22,29,11,21
42,40,33,24,36
55,37,32,22,54
49,36,37,18,34
48,40,31,14,32
53,36,44,24,32
50,40,41,17,44
49,42,41,21,36
42,41,46,16,40
48,48,48,24,48
49,46,43,22,40
60,39,41,16,44
52,35,30,14,31
55,35,43,19,43
50,35,36,17,37
58,33,32,15,30
49,42,37,18,42
44,41,34,12,32
51,37,36,17,35
59,40,45,21,48
45,35,37,11,32
55,34,42,13,41
44,37,32,14,34
54,39,35,18,35
47,42,46,19,54
46,40,44,21,39
53,39,48,14,35
57,35,28,8,25
48,42,40,18,39
54,36,37,22,35
52,25,29,19,30
47,44,29,17,41
48,26,26,16,22
49,37,38,19,43
53,33,26,10,21
45,43,37,24,39
51,43,42,20,42
43,30,24,14,27
48,35,40,21,37
43,32,39,24,43
44,31,34,20,35
49,33,39,16,29
52,40,41,24,55
57,46,49,24,59
46,40,37,18,38
51,41,40,21,42
48,38,36,19,38
52,31,33,24,35
56,27,29,8,23
41,44,38,24,47
57,38,44,24,49
48,38,31,26,36
47,44,36,21,48
49,30,32,11,36
55,26,20,11,30
49,34,45,15,29
57,35,38,19,41
54,44,40,21,31
45,31,35,15,33
43,38,47,23,43
47,39,44,18,35
45,32,34,15,32
50,40,33,18,36
62,35,47,24,53
48,42,45,22,26
38,34,34,16,24
46,38,33,12,31
61,40,35,16,40
60,55,57,24,59
50,39,32,16,25
43,41,43,20,37
60,44,38,15,40
47,26,29,17,49
27,44,40,17,49
52,32,32,15,37
40,32,35,21,23
45,49,45,23,47
50,35,44,24,41
49,44,41,16,36
45,37,36,21,40
48,43,43,21,47
46,30,34,13,33
45,39,42,27,43
50,33,34,24,33
58,39,45,26,52
55,48,42,26,43
58,37,35,16,42
51,33,32,16,34
51,36,46,21,36
45,38,38,16,42
54,43,51,24,59
43,36,32,18,25
47,26,27,11,35
55,39,33,16,44
54,34,37,13,34
50,41,42,16,34
46,34,34,16,27
45,30,34,15,25
42,35,38,16,34
56,45,37,25,46
48,37,33,16,27
40,35,36,17,43
47,37,35,23,36
54,42,56,24,55
39,35,25,16,27
44,33,38,19,31
38,32,31,14,31
43,40,35,19,46
54,45,39,17,36
47,35,32,16,30
39,41,34,25,35
52,33,36,17,33
53,34,32,8,22
48,28,27,16,19
57,45,44,22,43
55,39,47,21,44
43,40,36,20,36
46,38,33,20,29
48,34,36,14,40
42,38,39,21,41
47,33,31,17,35
48,41,47,17,44
51,34,31,14,36
56,44,46,23,41
52,33,28,15,36
46,67,61,32,68
48,32,30,14,32
51,42,36,13,44
47,32,35,17,34
43,36,45,17,25
53,48,41,26,50
51,29,39,16,27
50,38,37,16,38
55,36,34,19,48
38,36,42,18,43
49,53,49,26,41
51,42,38,24,30
41,27,25,13,20
41,45,50,23,45
40,35,34,15,22
45,34,31,15,33
58,37,45,14,45
50,42,34,18,42
46,55,47,24,55
54,49,40,25,52
48,36,37,22,40
45,34,35,15,41
39,35,38,16,30
46,29,28,10,21
56,39,42,20,54
49,33,35,18,29
46,36,39,18,33
50,41,39,20,33
53,40,43,21,41
51,45,56,20,42
44,33,32,12,42
42,35,30,22,36
48,41,29,17,38
43,34,35,18,42
50,33,24,10,24
38,27,40,19,26
51,44,40,22,40
46,38,29,16,30
43,41,45,23,42
50,38,39,22,54
49,37,38,15,38
45,48,48,21,50
51,36,39,24,46
51,38,45,21,48
57,43,41,22,48
45,32,30,17,34
40,46,41,20,48
47,31,31,20,28
54,41,48,20,54
56,40,38,15,44
51,45,53,19,62
51,43,36,15,35
51,43,31,17,35
42,41,31,18,50
46,39,42,17,37
38,37,35,12,34
49,39,41,21,47
43,34,30,19,34
48,42,39,15,47
50,38,30,11,30
42,35,38,18,32
37,35,36,22,43
54,38,38,20,39
46,68,54,26,53
44,61,54,27,46
