"I","G","S","N","W"
48,64,59,22,63
46,59,59,39,41
46,59,49,32,72
31,60,58,36,57
50,54,58,24,62
42,47,41,26,58
43,56,53,23,53
46,65,60,29,61
48,45,51,23,57
50,59,69,32,66
46,41,52,26,44
52,56,56,29,54
49,58,57,31,60
57,74,72,36,77
32,61,66,31,42
44,54,58,25,60
49,53,56,28,66
49,66,52,34,52
48,51,51,21,46
49,55,57,28,57
50,58,64,24,60
50,37,42,20,43
53,61,60,33,61
45,60,69,34,63
48,57,65,27,59
55,60,67,27,59
40,62,52,28,34
45,62,53,28,61
48,49,58,26,49
44,61,53,35,50
47,57,51,25,42
44,56,56,29,58
46,55,58,30,60
42,46,50,18,36
45,60,50,28,54
45,55,68,19,47
45,66,65,33,63
41,50,51,28,46
41,62,58,33,50
43,65,60,35,64
52,58,66,31,66
41,56,59,30,39
44,53,61,27,57
48,61,67,34,54
46,65,51,21,54
42,50,41,25,45
38,52,49,28,54
45,62,61,24,44
53,73,61,31,75
44,48,65,28,40
58,61,59,30,57
50,65,64,33,66
47,56,63,35,60
46,54,44,21,45
45,53,46,26,52
21,31,34,17,21
45,56,60,20,60
47,56,70,33,56
37,40,39,18,36
51,58,67,30,48
40,54,57,30,58
45,52,58,24,43
47,61,56,28,62
42,65,60,33,62
44,52,66,23,47
45,59,62,23,57
48,55,50,30,47
38,47,42,21,33
49,52,56,25,57
45,56,58,33,62
44,55,63,31,51
47,68,62,33,57
52,71,64,32,73
45,60,59,26,57
47,59,59,27,63
49,63,67,27,73
49,65,65,29,71
46,68,63,34,66
43,54,59,31,55
48,53,51,28,45
38,55,46,28,54
40,56,53,29,45
47,67,63,30,61
49,51,60,26,38
49,45,56,30,35
46,59,64,29,57
42,58,58,32,58
59,58,60,35,69
41,62,71,37,76
48,55,50,26,63
47,60,58,27,57
46,56,60,26,46
45,63,65,30,55
43,52,54,33,61
43,52,54,33,61
46,69,70,33,61
35,51,44,20,47
42,60,59,32,53
51,56,61,23,73
45,53,38,28,44
51,69,68,30,76
47,58,60,33,59
35,55,53,26,56
46,70,54,31,49
31,55,50,32,51
46,66,65,26,67
45,57,43,31,49
50,56,59,27,63
48,63,65,27,69
47,62,62,33,48
50,51,58,24,57
46,51,48,30,61
39,64,60,39,45
51,52,65,31,65
38,63,57,39,53
37,46,44,21,46
48,56,62,28,48
52,63,59,33,66
50,66,63,33,61
48,48,59,17,37
45,60,61,30,62
36,70,52,30,54
52,63,54,33,64
50,58,59,23,51
42,62,51,34,52
45,50,55,24,46
46,55,63,23,58
37,65,65,33,73
49,57,55,29,54
44,64,60,27,62
47,57,63,30,60
39,69,63,37,66
57,70,64,30,69
30,46,53,28,56
49,58,65,31,58
43,58,50,27,48
40,57,60,32,63
49,65,52,37,60
36,51,48,31,30
51,61,56,33,60
37,44,49,26,42
36,53,55,22,46
46,54,55,27,35
48,60,58,33,68
43,44,49,19,34
44,55,45,27,38
45,59,63,32,58
39,54,51,27,44
53,54,63,31,57
49,50,58,25,50
41,58,58,31,57
52,54,52,30,58
50,48,48,24,47
46,65,63,33,64
48,48,48,24,48
46,58,64,29,69
47,65,70,30,70
44,68,64,33,72
45,53,59,27,64
42,57,72,35,71
44,64,61,30,73
52,61,58,30,58
35,55,53,24,36
35,59,59,26,60
47,64,62,34,72
47,52,52,24,49
50,78,77,36,79
49,48,32,19,35
50,64,63,29,68
49,61,57,31,62
36,50,56,32,44
46,57,59,30,59
44,66,65,32,67
53,49,53,25,54
39,67,62,35,51
50,53,46,27,51
44,64,72,33,70
42,69,67,32,64
37,65,63,35,64
46,61,57,27,59
46,56,52,27,48
41,53,56,25,48
45,41,50,20,46
49,53,55,34,59
45,63,58,33,60
42,46,55,27,43
49,46,51,21,48
33,50,44,27,55
49,46,51,21,48
40,63,52,24,63
50,73,60,33,60
49,74,59,36,61
54,56,58,26,54
54,65,73,36,74
47,57,62,28,53
38,64,52,29,59
45,56,48,28,39
48,52,47,26,56
