"esqp_01" "esqp_02" "esqp_03" "esqp_04" "esqp_05" "esqp_06" "esqp_07" "esqp_08" "esqp_09" "esqp_10" "esqp_11" "esqp_12"
"260" 1 1 1 1 2 2 2 2 2 2 NA 1
"261" 1 1 1 1 1 1 1 1 2 1 1 1
"262" 2 2 2 2 2 2 2 3 1 1 2 2
"263" 1 1 1 1 1 1 1 1 1 1 1 1
"264" 2 2 2 2 3 2 2 1 2 2 2 2
"265" 1 2 1 1 3 3 3 1 2 2 NA 3
"266" 1 1 1 1 2 1 1 1 2 1 1 1
"267" 1 1 1 1 1 2 NA 2 1 1 1 1
"268" 1 1 1 1 2 1 2 1 1 1 2 2
"269" 1 1 1 1 1 1 1 1 1 1 1 1
"270" 1 1 1 1 1 1 1 1 1 1 1 1
"271" 1 1 1 1 NA 2 1 2 1 1 1 NA
"272" 2 1 1 2 2 1 2 3 1 1 1 2
"273" 1 1 1 1 2 2 1 1 1 1 2 2
"274" 1 1 1 1 1 2 2 1 2 1 1 1
"275" 2 2 2 1 2 3 2 1 1 2 NA 2
"276" 1 1 1 1 2 1 2 1 2 2 1 1
"277" 1 1 1 1 1 1 1 1 1 1 1 1
"278" 3 3 2 3 3 3 3 1 2 1 3 2
"279" 2 2 1 2 2 NA 2 1 1 1 2 2
"280" 2 1 2 2 3 2 3 1 1 1 1 2
"281" 1 1 1 1 1 NA NA 1 1 1 1 1
"282" 1 1 1 1 1 1 1 1 1 1 1 1
"283" 1 1 1 1 1 1 1 1 1 1 1 1
"284" 1 2 1 NA NA 3 2 2 1 1 NA 2
"285" 2 1 1 1 2 3 3 2 1 1 2 2
"286" 3 2 1 3 NA 1 2 1 1 1 2 1
"287" 1 1 1 1 1 1 1 1 1 1 1 1
"288" 1 2 1 2 2 1 1 2 1 1 1 1
"289" 1 1 1 1 1 2 1 1 1 1 1 1
"290" 1 1 1 1 2 1 1 1 3 1 1 1
"291" 1 2 2 2 3 2 2 2 1 1 2 2
"292" 1 1 1 1 2 2 1 1 2 1 1 1
"293" 1 1 1 1 2 2 1 2 1 1 1 1
"294" NA NA NA 2 1 2 2 1 1 1 1 1
"295" 1 1 1 1 2 2 2 1 1 1 2 3
"296" 3 3 3 3 3 3 3 NA 3 1 3 3
"297" 3 3 1 3 3 3 3 2 2 2 3 3
"298" 1 1 1 1 1 1 1 1 1 1 1 1
"299" 1 1 1 1 1 2 1 1 1 1 1 1
"300" 1 1 1 1 1 1 1 1 1 1 1 1
"301" 1 2 1 1 1 1 2 2 2 2 1 2
"302" 1 1 1 1 1 1 1 1 1 1 1 1
"303" 1 1 1 1 1 NA 2 2 2 2 2 2
"304" 2 2 2 3 3 2 NA 2 3 1 3 2
"305" 1 1 1 1 1 1 1 1 2 1 1 1
"306" 2 3 2 2 2 2 2 1 1 1 2 2
"307" 1 1 1 1 1 2 1 1 1 1 1 1
"308" 1 2 1 2 2 1 2 2 1 1 3 2
"309" 1 1 1 1 2 1 1 1 1 1 1 1
"310" 1 1 1 2 2 1 1 1 1 1 1 1
"311" 1 1 1 1 1 1 1 1 1 1 1 1
"312" 3 1 1 1 1 2 1 1 1 1 1 1
"313" NA NA NA NA NA NA NA NA NA NA NA NA
"314" 2 2 1 2 1 2 1 3 2 1 2 2
"315" 2 1 1 2 2 2 2 2 1 1 2 1
"316" 1 1 1 1 NA 2 2 1 1 1 2 NA
"317" 3 2 1 3 2 1 2 1 1 1 2 3
"318" 1 1 1 1 1 2 2 1 3 1 1 1
"319" 1 1 1 1 1 1 1 1 1 1 1 1
"320" 1 2 1 2 2 2 2 3 1 1 1 2
"321" 1 1 3 2 2 2 1 2 3 2 2 1
"322" 2 2 2 3 3 2 3 2 2 1 2 2
"323" 1 1 1 1 2 2 1 1 1 1 1 1
"324" 2 3 1 NA 3 3 3 3 1 1 3 3
"325" NA NA NA NA NA NA NA NA NA NA NA NA
"326" 1 1 1 1 2 2 1 3 1 1 1 2
"327" 1 1 1 1 1 1 1 1 2 1 1 1
"328" 2 2 1 2 2 3 2 2 1 1 2 2
"329" 2 2 2 2 3 3 3 1 1 1 NA NA
"330" 1 1 1 1 2 2 2 1 1 1 2 2
"331" 2 2 2 NA NA 3 NA 3 2 3 NA NA
"332" 1 1 1 1 1 1 NA 2 2 1 1 1
"333" 1 1 1 1 1 1 1 1 1 1 1 1
"334" 1 1 1 1 NA 1 1 1 1 3 NA 1
"335" 1 1 1 1 NA 1 1 1 1 1 1 1
"336" 2 1 1 1 2 1 2 1 1 1 1 2
"337" 1 1 1 1 1 2 NA 2 2 1 1 1
"338" 1 1 2 2 2 1 3 2 1 2 2 2
"339" 3 2 2 3 3 3 NA 2 3 1 3 3
"340" NA NA NA NA NA NA NA NA NA NA NA NA
"341" NA NA NA NA NA NA NA NA NA NA NA NA
"342" 2 2 2 1 2 2 2 2 2 2 2 2
"343" NA NA NA NA NA NA NA NA NA NA NA NA
"344" 1 1 1 1 1 1 1 1 1 1 1 1
"345" 1 1 1 1 1 1 1 1 1 1 1 1
"346" 3 3 3 1 3 2 2 2 2 2 1 1
"347" NA NA NA NA NA NA NA NA NA NA NA NA
"348" NA NA NA NA NA NA NA NA NA NA NA NA
"349" 1 1 1 1 1 1 1 1 1 1 1 1
"350" 1 1 1 1 1 2 1 1 1 1 1 1
"351" 1 1 1 1 1 2 1 2 2 3 1 1
"352" NA NA NA NA NA NA NA NA NA NA NA NA
"353" NA NA NA NA NA NA NA NA NA NA NA NA
"354" 1 1 1 1 1 1 1 2 2 1 1 1
"355" 1 1 1 1 1 2 1 1 1 1 1 1
"356" NA NA NA NA NA NA NA NA NA NA NA NA
"357" NA NA NA NA NA NA NA NA NA NA NA NA
"358" 1 2 1 1 1 1 2 3 2 1 1 2
"359" 1 2 2 2 2 2 1 2 2 2 2 1
"360" 1 2 1 1 2 1 1 1 1 1 2 1
"361" 1 1 1 NA NA 2 2 1 1 1 1 NA
"362" NA NA NA NA NA NA NA NA NA NA NA NA
"363" 1 1 1 1 1 1 1 1 2 1 1 1
"364" NA NA NA NA NA NA NA NA NA NA NA NA
"365" 1 1 1 1 1 1 1 1 1 1 1 1
"366" NA NA NA NA NA NA NA NA NA NA NA NA
"367" NA NA NA NA NA NA NA NA NA NA NA NA
"368" 1 1 1 1 1 1 1 2 2 1 1 1
"369" NA NA NA NA NA NA NA NA NA NA NA NA
"370" NA NA NA NA NA NA NA NA NA NA NA NA
"371" NA NA NA NA NA NA NA NA NA NA NA NA
"372" 1 1 1 1 1 1 1 1 1 2 1 1
"373" 1 1 1 1 1 1 1 1 1 1 1 1
"374" 1 1 1 2 1 1 1 1 2 1 1 1
"375" 1 1 1 1 1 1 1 1 1 1 1 1
"376" NA NA NA NA NA NA NA NA NA NA NA NA
"377" 1 1 1 1 2 1 1 2 1 1 1 1
"378" NA NA NA NA NA NA NA NA NA NA NA NA
"379" 1 1 1 1 1 1 1 1 1 1 1 1
"380" 1 2 1 2 2 2 2 1 1 1 1 2
"381" NA NA NA NA NA NA NA NA NA NA NA NA
"382" 1 1 1 1 1 1 1 1 1 1 1 1
"383" 1 1 2 1 2 1 1 1 1 1 1 1
"384" 1 1 1 1 1 2 1 1 1 1 1 1
"385" 1 1 1 1 1 2 1 1 1 1 1 1
"386" 1 2 1 1 2 1 2 1 1 1 1 1
"387" NA NA NA NA NA NA NA NA NA NA NA NA
"388" 1 1 1 1 1 1 1 1 1 1 1 1
"389" 2 1 1 1 2 2 2 2 NA 2 1 1
"390" NA NA NA NA NA NA NA NA NA NA NA NA
"391" 2 2 1 1 2 1 2 1 2 1 1 1
"392" NA NA NA NA NA NA NA NA NA NA NA NA
"393" 2 2 1 2 3 2 2 1 2 2 2 2
"394" 2 2 1 1 2 2 2 2 2 1 1 1
"395" 1 1 1 1 1 1 1 1 1 1 1 1
"396" 1 1 1 1 1 1 1 1 1 2 1 1
"397" NA NA NA NA NA NA NA NA NA NA NA NA
"398" 1 1 1 1 2 2 3 1 1 1 1 1
"399" NA NA NA NA NA NA NA NA NA NA NA NA
"400" NA NA NA NA NA NA NA NA NA NA NA NA
"401" 1 1 1 1 1 1 1 1 1 1 1 1
"402" 1 1 1 1 1 1 1 1 1 1 1 1
"403" 1 1 1 1 1 1 1 1 2 1 1 1
"404" 1 1 1 1 1 1 1 1 1 1 1 1
"405" 1 1 1 1 1 2 1 1 1 2 1 1
"406" 1 1 1 1 2 1 1 NA 1 1 1 1
"407" 1 1 1 1 1 1 1 1 1 1 1 1
"408" NA NA NA NA NA NA NA NA NA NA NA NA
"409" NA NA NA NA NA NA NA NA NA NA NA NA
"410" NA NA NA NA NA NA NA NA NA NA NA NA
"411" 1 1 1 1 2 1 1 1 1 1 1 1
"412" NA NA NA NA NA NA NA NA NA NA NA NA
"413" 3 3 3 3 NA 2 2 1 2 1 2 2
"414" 1 1 1 1 1 1 1 1 1 1 1 1
"415" NA NA NA NA NA NA NA NA NA NA NA NA
"416" NA NA NA NA NA NA NA NA NA NA NA NA
"417" 2 2 1 2 3 2 3 2 2 1 2 2
"418" 1 1 1 1 1 2 1 NA 1 2 2 1
"419" 1 1 1 1 1 2 1 1 1 1 1 1
"420" NA NA NA NA NA NA NA NA NA NA NA NA
"421" 1 1 1 1 2 2 1 1 1 1 1 1
"422" 3 2 1 NA NA NA 1 3 2 1 2 NA
"423" 1 2 1 1 1 2 1 2 2 1 1 1
"424" 1 1 1 1 1 1 1 1 1 1 1 1
"425" NA NA NA NA NA NA NA NA NA NA NA NA
"426" 1 1 1 1 1 2 1 1 1 1 1 1
"427" 2 2 2 NA NA NA NA 1 2 1 1 NA
"428" 1 1 1 1 1 1 1 1 2 2 1 1
"429" 2 1 1 1 1 1 2 1 2 1 1 1
"430" 1 1 1 1 1 1 1 1 1 1 1 1
"431" NA NA NA NA NA NA NA NA NA NA NA NA
"432" NA NA NA NA NA NA NA NA NA NA NA NA
"433" 1 1 1 1 1 1 1 1 1 1 1 1
"434" NA NA NA NA NA NA NA NA NA NA NA NA
"435" NA NA NA NA NA NA NA NA NA NA NA NA
"436" 1 1 1 1 1 1 1 2 1 1 1 1
"437" NA NA NA NA NA NA NA NA NA NA NA NA
"438" 2 1 1 1 1 1 2 2 2 2 1 1
"439" 1 1 1 1 NA 1 1 2 1 1 1 1
"440" NA NA NA NA NA NA NA NA NA NA NA NA
"441" 2 1 2 2 2 2 2 1 1 1 2 2
"442" NA NA NA NA NA NA NA NA NA NA NA NA
"443" 1 1 2 2 2 2 2 3 2 2 2 2
"444" 1 1 1 1 1 1 2 2 1 2 1 1
"445" 1 1 1 1 1 1 1 1 1 1 1 1
"446" 2 2 1 2 2 1 1 1 1 1 2 2
"447" 1 1 1 1 2 1 NA 1 1 2 1 1
"448" 2 1 2 1 2 2 1 3 1 2 NA NA
"449" 2 2 1 1 2 2 1 2 2 1 NA 2
"450" 1 1 1 1 1 1 1 2 1 1 1 1
"451" 1 1 1 1 1 2 1 2 1 1 1 1
"452" NA NA NA NA NA NA NA NA NA NA NA NA
"453" NA NA NA NA NA NA NA NA NA NA NA NA
"454" NA NA NA NA NA NA NA NA NA NA NA NA
"455" 1 1 1 1 1 1 1 1 1 1 1 1
"456" NA NA NA NA NA NA NA NA NA NA NA NA
"457" 1 1 1 1 1 1 2 2 1 1 1 1
"458" NA NA NA NA NA NA NA NA NA NA NA NA
"459" NA NA NA NA NA NA NA NA NA NA NA NA
"460" NA NA NA NA NA NA NA NA NA NA NA NA
