"esqp_01" "esqp_02" "esqp_03" "esqp_04" "esqp_05" "esqp_06" "esqp_07" "esqp_08" "esqp_09" "esqp_10" "esqp_11" "esqp_12"
"1" 1 1 1 1 2 2 2 2 1 2 1 1
"2" 3 3 3 3 3 3 3 1 2 1 3 3
"3" 1 1 1 1 1 1 1 1 1 1 1 1
"4" 1 1 1 1 1 1 1 1 1 1 1 1
"5" 1 1 1 1 1 1 1 1 1 1 1 1
"6" 2 1 1 2 2 1 1 2 2 3 2 1
"7" 2 1 1 2 2 1 1 2 2 3 2 1
"8" 1 1 1 1 3 3 1 1 1 1 3 3
"9" 1 1 1 1 3 3 1 1 1 1 3 3
"10" 1 1 1 1 1 1 1 2 2 2 1 1
"11" 1 1 1 1 1 1 1 2 2 2 1 1
"12" 1 1 1 1 1 1 1 2 2 2 1 1
"13" 1 1 1 1 1 1 1 2 2 2 1 1
"14" 1 1 1 1 2 2 1 1 1 1 1 1
"15" 1 1 1 1 2 2 1 1 1 1 1 1
"16" 1 1 1 1 1 1 1 1 1 2 1 1
"17" 1 1 1 1 1 1 1 1 1 2 1 1
"18" 1 1 1 2 1 1 1 1 2 1 1 2
"19" 1 1 1 1 1 1 1 1 1 1 1 1
"20" 1 1 1 1 1 1 1 1 1 1 1 1
"21" 1 1 1 1 2 3 1 1 2 2 NA 1
"22" 1 1 1 1 2 3 1 1 2 2 NA 1
"23" 1 1 1 1 1 1 1 2 2 1 1 1
"24" 1 1 1 1 1 1 1 2 2 1 1 1
"25" 1 1 1 1 1 1 1 1 1 1 1 1
"26" 1 1 1 1 1 1 1 1 1 1 1 1
"27" 2 1 1 2 2 2 2 1 1 1 1 1
"28" 2 1 1 2 2 2 2 1 1 1 1 1
"29" 1 1 1 1 2 2 3 1 1 1 2 2
"30" 1 1 1 1 2 2 3 1 1 1 2 2
"31" 1 1 1 1 2 1 1 1 1 1 1 1
"32" 1 1 1 1 2 1 1 1 1 1 1 1
"33" 1 1 1 1 1 1 1 1 2 1 1 1
"34" 1 1 1 1 1 1 1 1 2 1 1 1
"35" 2 2 1 1 1 1 1 1 1 1 1 1
"36" 2 2 1 1 1 1 1 1 1 1 1 1
"37" NA NA NA 1 2 3 2 1 1 1 3 NA
"38" NA NA NA 1 2 3 2 1 1 1 3 NA
"39" 1 1 1 1 NA NA NA 1 1 1 NA 1
"40" 1 1 1 1 NA NA NA 1 1 1 NA 1
"41" NA NA NA NA NA NA NA NA NA NA NA NA
"42" NA NA NA NA NA NA NA NA NA NA NA NA
"43" 2 2 1 2 3 3 2 2 3 1 3 3
"44" 2 2 1 2 3 3 2 2 3 1 3 3
"45" 1 1 1 1 1 1 1 1 1 1 1 1
"46" 1 1 1 1 1 1 1 1 1 1 1 1
"47" 1 1 1 1 2 1 1 1 2 2 2 1
"48" 1 1 1 1 2 1 1 1 2 2 2 1
"49" 1 1 1 2 3 3 3 1 1 1 NA NA
"50" 1 1 1 2 3 3 3 1 1 1 NA NA
"51" NA NA NA NA NA NA NA NA NA NA NA NA
"52" NA NA NA NA NA NA NA NA NA NA NA NA
"53" NA NA NA 1 1 1 NA 1 2 3 NA NA
"54" NA NA NA 1 1 1 NA 1 2 3 NA NA
"55" 1 2 1 1 1 2 1 1 1 1 1 1
"56" 1 2 1 1 1 2 1 1 1 1 1 1
"57" 1 1 1 1 1 1 1 1 1 1 1 1
"58" 1 1 1 1 1 1 1 1 1 1 1 1
"59" 3 3 3 3 3 2 3 1 3 1 3 3
"60" 3 3 3 3 3 2 3 1 3 1 3 3
"61" 1 1 1 1 1 1 1 2 1 2 1 1
"62" 1 1 1 1 1 1 1 2 1 2 1 1
"63" 1 1 1 1 1 1 1 1 1 1 1 1
"64" 2 1 1 2 2 3 3 1 1 1 2 2
"65" 2 1 1 2 2 3 3 1 1 1 2 2
"66" 1 1 1 1 1 1 1 1 2 1 1 1
"67" 1 1 1 1 1 1 1 1 2 1 1 1
"68" 2 1 1 2 NA 1 1 1 1 1 1 1
"69" 2 1 1 2 NA 1 1 1 1 1 1 1
"70" 2 2 2 3 3 3 3 1 1 1 NA 3
"71" 2 2 2 3 3 3 3 1 1 1 NA 3
"72" 1 2 1 2 2 3 2 1 2 1 2 2
"73" 1 2 1 2 2 3 2 1 2 1 2 2
"74" 2 2 1 2 2 2 2 1 2 1 2 2
"75" 2 2 1 2 2 2 2 1 2 1 2 2
"76" 1 1 1 1 1 1 1 1 1 1 1 1
"77" 1 1 1 1 1 1 1 1 1 1 1 1
"78" 2 1 1 1 2 2 3 1 1 1 3 3
"79" NA NA NA NA NA NA NA NA NA NA NA NA
"80" 1 1 1 1 1 1 1 1 1 1 1 1
"81" 1 1 1 1 2 2 NA NA NA NA 1 1
"82" NA NA NA NA NA NA NA NA NA NA NA NA
"83" 2 2 2 NA 2 2 3 1 1 1 2 2
"84" 1 1 1 1 1 2 1 1 1 1 1 1
"85" 1 1 1 1 1 1 1 1 1 1 1 1
"86" 1 1 1 1 1 1 1 2 1 2 1 1
"87" 2 1 1 1 2 1 1 1 1 1 1 1
"88" 1 1 1 1 1 2 1 1 1 1 1 1
"89" 1 1 1 1 1 1 1 1 1 1 1 1
"90" NA NA NA NA NA NA NA NA NA NA NA NA
"91" 1 1 1 1 1 1 1 1 1 1 1 1
"92" 2 2 2 NA NA 3 3 2 2 1 NA 3
"93" 1 1 1 1 1 1 1 1 1 1 1 1
"94" 1 1 1 1 1 1 1 1 1 1 1 1
"95" 2 2 1 1 1 2 1 1 1 1 1 1
"96" 1 1 1 1 1 1 1 2 1 1 1 1
"97" NA 1 1 NA 2 2 1 1 1 1 1 1
"98" 1 1 1 1 1 1 1 1 1 1 1 1
"99" 1 1 1 1 1 1 1 1 1 1 1 1
"100" 1 1 1 1 1 1 1 1 2 1 2 1
"101" 1 2 1 1 1 2 1 1 1 1 1 1
"102" 2 2 2 3 3 3 3 2 2 2 3 3
"103" 2 2 NA 2 2 2 1 1 1 2 2 2
"104" 1 1 1 1 1 1 1 1 1 2 1 1
"105" NA NA NA NA NA NA NA NA NA NA NA NA
"106" 1 1 1 1 1 1 1 1 1 2 1 1
"107" 1 1 1 1 1 1 1 2 1 1 1 1
"108" 1 2 1 1 2 1 1 1 3 1 1 1
"109" 1 1 1 1 1 1 1 1 1 1 1 1
"110" 1 1 1 1 1 1 1 1 1 1 1 1
"111" 1 2 1 1 1 1 1 1 1 1 1 1
"112" 1 1 1 1 1 1 1 1 1 1 1 1
"113" NA NA NA NA NA NA NA NA NA NA NA NA
"114" 1 1 1 1 NA 3 1 1 2 1 2 1
"115" 1 1 1 1 1 1 1 1 1 1 1 1
"116" 1 1 1 1 1 1 1 1 1 1 1 1
"117" 1 1 1 1 1 1 NA 1 1 2 1 1
"118" 1 1 1 1 1 1 1 1 2 2 1 1
"119" 1 1 1 1 2 1 1 1 1 1 1 1
"120" 1 1 1 1 2 1 2 1 1 1 1 2
"121" 2 2 2 2 2 2 2 1 1 1 1 2
"122" 1 1 1 1 1 1 1 1 3 2 3 1
"123" 1 1 1 1 1 1 1 1 2 1 1 1
"124" 1 1 1 1 1 1 1 2 1 1 1 1
"125" 1 1 1 1 1 1 1 2 1 1 1 1
"126" 1 1 1 1 1 1 1 1 2 1 1 1
"127" 1 1 1 1 1 1 1 1 2 3 1 1
"128" 2 3 2 3 3 3 3 3 1 1 3 3
"129" 1 2 1 1 1 1 1 2 2 1 1 1
"130" 1 2 1 1 1 1 1 2 2 1 1 1
"131" 1 1 1 1 1 2 1 1 1 1 1 1
"132" 1 1 1 1 2 2 NA 1 1 1 2 2
"133" 1 1 1 1 1 1 1 1 1 1 1 1
"134" 1 1 1 1 1 1 2 1 1 1 1 1
"135" 2 1 1 1 2 2 1 1 1 1 2 2
"136" 1 1 1 1 1 1 1 1 1 1 1 1
"137" 1 1 1 1 1 1 NA 1 1 1 NA 1
"138" 1 1 1 1 1 1 1 2 1 1 1 1
"139" 1 1 1 1 1 1 1 1 1 2 1 1
"140" 1 1 1 1 1 1 1 2 1 1 1 1
"141" 1 1 1 1 1 1 1 1 1 1 1 1
"142" 2 2 1 1 2 2 1 1 1 1 1 1
"143" 1 1 1 1 1 1 1 1 1 1 1 1
"144" 1 1 1 1 1 2 2 1 1 1 1 1
"145" 1 1 1 1 1 1 1 1 1 2 1 1
"146" 1 1 1 1 1 1 1 1 1 1 1 1
"147" 1 1 1 1 1 1 1 1 1 1 1 1
"148" 1 1 1 1 1 1 1 1 1 1 1 1
"149" 1 1 1 1 2 1 2 2 2 1 1 1
"150" 1 1 1 1 1 1 1 1 1 1 1 1
"151" 1 1 1 1 1 1 1 1 1 1 1 1
"152" 3 3 2 3 3 3 3 1 1 1 2 2
"153" 2 3 2 3 3 3 3 1 1 1 3 3
"154" 2 1 1 1 NA 3 NA 1 NA 3 NA NA
"155" 1 1 1 1 2 1 1 1 1 1 1 1
"156" 1 1 1 1 1 1 1 1 1 1 1 1
"157" 1 1 1 2 1 2 1 1 1 1 1 2
"158" 1 1 1 1 1 1 1 2 2 1 1 1
"159" 1 1 1 1 2 1 1 1 1 1 1 1
"160" 1 1 1 1 1 1 1 1 1 1 1 1
"161" 1 1 1 1 1 1 1 1 1 1 1 1
"162" 1 1 1 1 1 1 1 1 1 1 1 1
"163" 1 1 1 1 1 1 1 2 1 1 1 1
"164" 1 1 1 1 1 2 1 2 3 1 1 1
"165" 1 1 1 1 1 1 1 1 1 1 1 1
"166" NA NA NA NA NA NA NA NA NA NA NA NA
"167" 1 1 1 1 2 2 2 1 2 1 1 1
"168" 3 3 3 3 3 3 3 2 2 2 3 3
"169" 2 2 1 2 2 2 2 2 1 3 1 2
"170" 1 1 1 1 1 1 1 1 1 1 1 1
"171" 1 1 1 1 1 1 1 1 1 1 1 1
"172" 1 1 1 1 2 1 2 1 1 1 2 2
"173" 1 1 1 1 1 1 1 1 1 1 1 1
"174" 1 1 1 1 NA 1 NA 1 3 3 1 1
"175" 1 1 1 1 1 1 1 2 2 2 1 1
"176" 1 1 1 1 1 1 1 1 2 1 1 1
"177" 1 1 1 1 NA 1 1 1 1 1 1 1
"178" 1 1 1 1 1 1 1 2 1 2 1 1
"179" 2 2 1 2 2 3 2 2 1 1 2 2
"180" 1 1 1 1 1 1 1 1 1 1 1 1
"181" 1 1 1 1 1 1 1 1 1 1 1 1
"182" 2 1 2 2 2 1 2 1 1 1 1 1
"183" 1 1 1 1 1 1 1 2 1 1 1 1
"184" 1 1 1 1 1 1 NA 2 1 1 1 1
"185" 1 1 1 1 2 1 1 1 2 2 1 1
"186" 1 2 1 1 2 2 1 2 1 1 NA 1
"187" 1 1 1 1 2 2 2 1 1 1 2 2
"188" 1 1 1 1 1 1 1 1 1 1 1 1
"189" 1 1 1 1 2 1 1 1 1 1 1 1
"190" 1 1 1 1 2 2 2 2 1 1 3 2
"191" 2 2 1 1 NA 2 2 1 1 2 NA 2
"192" 1 1 1 1 1 1 1 1 1 1 1 1
"193" 1 1 1 1 1 1 1 1 1 1 1 1
"194" 1 1 1 1 1 1 1 1 1 1 1 1
"195" NA NA NA NA NA NA NA NA NA NA NA NA
"196" 1 1 1 2 1 2 1 1 1 1 1 1
"197" 1 1 1 1 2 1 2 1 1 1 1 1
"198" 1 1 1 1 1 1 1 1 1 2 1 1
"199" 1 1 1 1 1 1 1 2 1 1 2 1
"200" 1 1 1 1 1 1 1 1 1 1 1 1
"201" 1 1 1 1 1 1 1 1 1 1 1 1
"202" 1 1 1 1 1 1 1 1 1 1 1 1
"203" 1 1 1 1 1 1 1 1 1 1 1 1
"204" 2 2 2 2 2 2 2 1 1 2 2 2
"205" 1 1 1 1 1 1 2 1 1 1 1 1
"206" 1 1 1 1 1 1 1 1 1 1 1 1
"207" 1 2 1 1 1 1 1 1 1 1 1 1
"208" 1 1 1 1 1 1 1 2 1 1 1 1
"209" 1 1 1 1 2 2 3 2 1 1 2 2
"210" 1 2 1 1 2 2 2 1 1 1 1 2
"211" 1 1 1 1 1 2 1 1 2 1 1 1
"212" 1 1 1 1 1 1 1 2 2 2 1 1
"213" 1 1 1 1 1 1 1 1 1 1 1 1
"214" 1 1 1 1 1 1 1 1 1 1 1 1
"215" 1 1 1 1 1 1 1 1 1 1 2 1
"216" 1 1 1 1 1 2 1 2 1 1 1 1
"217" 1 1 1 1 1 1 1 1 1 1 1 1
"218" 1 1 1 1 1 1 1 1 1 2 1 1
"219" 1 1 1 1 2 3 3 1 2 1 1 2
"220" 1 1 1 1 1 1 1 1 1 1 1 1
"221" 1 1 1 1 1 1 1 1 1 1 1 1
"222" 1 1 1 1 1 1 1 2 1 2 1 1
"223" 3 1 3 3 1 3 1 1 1 1 NA 3
"224" 1 1 1 2 2 1 NA 1 1 1 1 1
"225" 1 1 1 1 1 1 1 1 1 1 1 1
"226" 1 1 1 1 1 1 1 1 1 1 1 1
"227" 1 1 1 1 1 1 NA 2 1 1 1 1
"228" 1 1 1 1 1 1 1 1 1 2 1 1
"229" 1 1 1 1 1 1 1 1 1 2 1 1
"230" 1 NA 1 2 NA 1 2 NA 1 1 NA NA
"231" 1 1 1 1 1 1 1 2 1 1 1 1
"232" 1 1 1 1 1 1 1 1 1 1 1 1
"233" 2 1 1 2 3 2 2 1 1 3 3 2
"234" 1 2 1 1 1 1 2 1 1 1 1 1
"235" 2 1 1 2 3 1 2 1 1 1 1 1
"236" 1 1 1 1 1 1 1 1 1 1 1 1
"237" 1 1 1 1 1 1 1 1 1 1 1 1
"238" 1 1 1 1 1 1 1 1 1 1 1 1
"239" 1 2 1 2 2 1 1 1 1 1 1 1
"240" 1 1 1 1 1 1 1 1 1 1 1 1
"241" 1 1 1 1 1 1 1 1 2 1 1 1
"242" 1 1 1 1 1 1 1 3 2 1 1 1
"243" 1 1 1 1 1 1 1 1 1 2 1 1
"244" 1 1 1 1 1 1 1 1 1 1 1 1
"245" 2 2 1 2 1 1 1 1 2 3 1 1
"246" 1 1 2 1 2 1 2 1 3 2 1 1
"247" 1 1 1 1 1 1 NA 1 1 1 1 1
"248" 1 2 1 1 2 2 1 1 1 1 1 2
"249" 1 1 1 1 NA 1 1 1 1 1 1 1
"250" 2 2 2 1 2 1 2 1 2 2 1 1
"251" 1 1 1 1 1 1 1 1 1 1 1 1
"252" 2 1 1 2 2 2 3 1 1 1 2 2
"253" 1 1 1 1 2 2 2 1 2 1 NA 2
"254" 1 1 1 1 1 1 1 1 1 1 1 1
"255" 2 3 1 2 3 2 1 1 2 3 2 2
"256" 1 1 1 1 1 1 1 1 1 1 1 1
"257" 1 1 1 1 1 2 1 1 1 1 1 1
"258" 1 1 1 1 2 1 1 1 1 1 1 1
"259" 1 1 1 2 2 2 2 1 1 2 2 2
