SelfConf1T1,SelfConf2T1,SelfConf3T1,SelfConf4T1,Intr1T1,Intr2T1,Intr3T1,Auton1T1,Auton2T1,Auton3T1,Auton4T1,SelfConf1T2,SelfConf2T2,SelfConf3T2,SelfConf4T2,Intr1T2,Intr2T2,Intr3T2,Auton1T2,Auton2T2,Auton3T2,Auton4T2,L2_achievement
5,3,4,4,4,3,3,1,1,2,3,5,4,4,4,4,4,4,2,2,4,4,19
3,4,4,3,5,4,5,2,2,3,3,4,4,4,4,4,4,4,1,2,3,3,18
4,4,4,4,2,4,4,2,2,4,4,2,4,4,4,4,4,4,5,5,5,5,17
1,1,1,2,1,1,1,1,1,1,1,5,4,3,4,4,5,4,3,4,4,4,14.5
4,4,5,3,4,5,5,1,2,2,2,4,4,4,3,4,4,4,2,4,2,3,16.5
4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,18
4,3,4,3,5,5,4,2,2,4,3,4,4,3,3,5,5,5,2,2,3,3,19
4,4,4,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,19
4,3,4,4,4,3,2,2,2,2,4,4,4,3,4,4,4,4,3,2,2,4,17.5
4,4,4,4,4,2,2,2,2,2,3,3,3,3,3,4,3,2,2,2,2,4,17
5,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,19.5
2,3,3,2,2,3,4,2,2,2,2,2,2,3,3,2,3,4,2,2,2,5,12.5
4,5,4,4,5,2,5,1,2,2,4,4,4,5,4,5,3,4,1,1,4,2,18
4,4,4,4,4,4,4,2,2,4,3,3,3,3,2,4,5,4,2,4,4,3,18.5
3,4,4,4,3,4,4,3,3,3,3,4,4,4,3,4,4,4,3,4,3,4,18.5
3,3,3,1,5,5,5,1,1,4,3,2,3,4,3,5,2,5,2,2,2,4,16.5
4,4,3,3,4,4,4,3,3,3,4,4,3,3,2,4,4,4,1,4,3,4,17.5
4,4,4,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,3,2,4,19.5
4,5,5,4,4,5,5,4,5,4,5,5,5,5,5,4,5,4,4,4,4,4,20
4,4,4,4,4,4,4,3,2,2,2,3,4,4,3,5,5,4,2,3,4,4,19.5
5,5,5,5,5,5,5,4,3,4,4,5,5,5,4,5,5,4,1,5,5,5,21
4,4,4,4,4,4,4,3,3,4,4,5,5,5,4,3,4,3,2,4,2,4,21
4,4,4,4,1,4,4,2,1,1,1,5,4,5,4,4,4,4,4,4,4,3,21
4,5,4,4,4,5,5,2,4,4,3,4,5,5,3,5,5,5,1,1,2,1,17.5
3,4,5,2,4,4,4,4,2,2,3,4,5,4,4,4,3,3,2,2,2,3,18.5
5,5,4,4,5,5,5,4,4,2,2,5,4,4,4,5,5,5,4,4,4,4,21
3,5,5,4,5,5,5,3,3,3,2,4,4,5,4,4,4,5,2,5,4,4,17.5
4,3,3,3,4,3,4,5,2,4,3,4,3,3,4,3,4,3,3,1,2,3,17
3,3,3,3,3,2,2,3,5,5,5,4,4,3,3,4,2,1,3,4,4,3,16
4,5,4,5,4,4,4,4,4,4,4,5,5,5,4,5,2,4,5,5,5,5,20
3,4,5,4,5,5,5,4,3,4,5,5,5,5,5,5,5,5,1,1,5,5,22.5
5,4,5,4,5,5,5,2,3,4,4,5,5,5,5,5,5,5,2,4,5,5,22.5
5,5,4,4,5,4,5,1,2,2,4,4,5,4,5,5,4,5,2,2,4,2,19.5
5,4,5,4,4,4,4,3,4,2,4,5,4,5,4,5,5,5,4,3,4,4,20
5,5,5,4,1,5,5,5,5,5,3,5,5,5,4,1,5,5,2,3,3,2,21
3,4,5,5,5,4,5,3,4,2,4,3,3,3,2,5,5,5,2,2,2,3,18
4,4,4,3,5,4,5,2,2,2,2,4,4,4,4,5,5,5,3,3,3,3,17.5
5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,4,5,5,5,22.5
4,3,4,4,4,4,4,2,3,3,2,4,4,4,4,5,4,4,3,2,2,2,18
